Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Vendorpart,Mfgrpart,Mfgr,Populate
1,Unpolarized capacitor,C,C4 C5 C6 C7 C8 C9 C11 C12 C13,0.1uF,C_0402_1005Metric,9,490-13341-1-ND,GRM155R71E104ME14D,Murata,
2,Unpolarized capacitor,C,C1 C2,18pF 1%,C_0402_1005Metric,2,490-16457-1-ND,GCM1555C1H180FA16D,Murata,
3,Unpolarized capacitor,C,C3,1uF,C_0402_1005Metric,1,490-12699-1-ND,GRM155C81A105KA12D,Murata,
4,Unpolarized capacitor,C,C10,4.7uF,C_0402_1005Metric,1,490-5408-1-ND,GRM155R60J475ME87D,Murata,
5,"Bidirectional dual transient-voltage-suppression diode, center on pin 3",D_TVS_x2_AAC,D1 D2 D3,D_TVS_x2_AAC,SOT-723,3,SZESD7205DT5GOSCT-ND,SZESD7205DT5G,ON,
6,"Generic connector, double row, 02x30, counter clockwise pin numbering scheme (similar to DIP packge numbering), script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_02x30_Counter_Clockwise,J1 J2,DF40HC(3.5)-60DS,DF40HC(3.5)-60DS,2,H11917CT-ND,DF40HC(3.5)-60DS-0.4V(51),Hirose,
7,USB Type A connector,USB_A,J3 J4 J5,USB_A,USB_A_Stewart_SS-52100-001_Horizontal,3,380-1412-ND,SS-52100-001,Stewart,
8,Resistor,R,R2 R3 R13,100K,R_0402_1005Metric,3,311-100KLRCT-ND,RC0402FR-07100KL,Yageo,
9,Resistor,R,R1,10K,R_0402_1005Metric,1,311-10KJRCT-ND,RC0402JR-0710KL,Yageo,
10,Resistor,R,R4,12K 1%,R_0402_1005Metric,1,311-12.0KLRCT-ND,RC0402FR-0712KL,Yageo,
11,"I2C Serial EEPROM, 16Kb, DIP-8/SOIC-8/TSSOP-8/DFN-8",24LC16,U1,24C32,DFN-8-1EP_3x2mm_P0.5mm_EP1.36x1.46mm,1,497-15757-1-ND,M24C32-FMC6TG,ST,
12,Power Switch 1:2 P-Channel 500mA,AP2152A,U2 U3,AP2152A,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,2,AP2152AFGEG-7DICT-ND,AP2152AFGEG-7,Diodes,
13,USB 2.0 Hi-Speed Hub Controller,USB2514B_Bi,U4,USB2514B_Bi,QFN-36-1EP_6x6mm_P0.5mm_EP3.7x3.7mm,1,USB2514B-AEZC-CT-ND,USB2514B-AEZC-TR,Microchip,
14,"Four pin crystal, GND on pins 2 and 4",Crystal_GND24,Y1,24MHz 50 PPM,XRCGB,1,490-5575-1-ND,XRCGB24M000F0L00R0,Murata,
